"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x2575922729","x1332721909969121282",2020-11-28 16:23:58,"jimmysfiancee","My cousin and I connected a bike to an electric scooter with a jump rope and I fell off the bike straight to the pavement because she was going too fast on the scooter Instant concussion and broken finger https://t.co/04H0vJ2RPP","Twitter for iPhone",204,,,,TRUE,FALSE,4,0,,,,,"twitter.com/jbfan911/statu…","https://t.co/04H0vJ2RPP","https://twitter.com/jbfan911/status/1332213626376237056",,,,,,,,,,,"en","x1332213626376237056","What’s the hardest everyone’s BONKED their heads. I ran into a tree",2020-11-27 06:44:14,"Twitter for iPhone",38905,810,"x333664490","jbfan911","Natalie",47759,818,33964,"Minneapolis, MN","(in case my employer sees this) I love ethics and HIPAA       she/her",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jimmysfiancee/status/1332721909969121282","lil Danny DeVito","She/her","help me pay my student loans Venmo @leahnicole8 https://t.co/WpB2K6j3LC",,FALSE,946,210,20,40558,70159,2014-06-01 18:57:22,FALSE,,,,"https://pbs.twimg.com/profile_banners/2575922729/1591062178","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1295074038084259840/SVMzO2cf_normal.jpg"
"x1114562388609634305","x1332707899613859842",2020-11-28 15:28:18,"LuckkyyCharmz","@CalebJHull I was returning a $3,000 mobile scooter that came broken. UPS picked it up. After a week I still didn’t get my refund; turns out the driver said that I refused to give him the scooter. Good thing I had a camera.","Twitter for iPhone",211,"x1332491840881373184","x239005322","CalebJHull",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x239005322","CalebJHull","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/LuckkyyCharmz/status/1332707899613859842","jacob","","",,FALSE,4,78,0,639,2580,2019-04-06 16:15:55,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1268380951257718786/K6x0zhrp_normal.jpg"
"x877247238023630853","x1332671509400342529",2020-11-28 13:03:42,"theouterscience","another time i was riding that same motherfucking scooter and i hit a crack in the sidewalk and i hit the pavement with my face and skid. ended up in the emergency room bc there was so much blood. i 100% fine, no broken teeth and no stitches needed but i had a fat lip for days","Twitter for iPhone",277,"x1332670026726387712","x877247238023630853","theouterscience",FALSE,FALSE,4,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/theouterscience/status/1332671509400342529","joshua kiryu apologist","uncle kracker’s burrow","♢ micaiah (mica). he/him. 26. rt heavy! very gay, very trans, very goth. - wol: era’li mhira, lamia (primal)","https://t.co/NLSMKWkOwF",FALSE,465,747,6,84627,166384,2017-06-20 19:30:14,FALSE,"https://t.co/NLSMKWkOwF","http://mollymauktealeaf.carrd.co",,"https://pbs.twimg.com/profile_banners/877247238023630853/1604044255","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1330265298960834563/S6qVoTYH_normal.jpg"
"x1300876573122285568","x1332641090738929666",2020-11-28 11:02:49,"iplayuno","cw//injury, teeth
when I was in fourth or fifth grade I was riding my scooter down a steep sidewalk hit a rock and flew and skidded across the ground. my front teeth shattered and I broken my chin and almost my nose idk if I blacked out or not and no one was around me to help me https://t.co/tcPQMU2V1W","Twitter for Android",279,,,,TRUE,FALSE,0,0,,,,,"twitter.com/jbfan911/statu…","https://t.co/tcPQMU2V1W","https://twitter.com/jbfan911/status/1332213626376237056",,,,,,,,,,,"en","x1332213626376237056","What’s the hardest everyone’s BONKED their heads. I ran into a tree",2020-11-27 06:44:14,"Twitter for iPhone",38905,810,"x333664490","jbfan911","Natalie",47759,818,33964,"Minneapolis, MN","(in case my employer sees this) I love ethics and HIPAA       she/her",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/iplayuno/status/1332641090738929666","kan 😼","","17 | exclu | I listen so sweater weather | BLM | ACAB | she/her 😌✨",,FALSE,80,72,1,924,5149,2020-09-01 19:22:10,FALSE,,,,"https://pbs.twimg.com/profile_banners/1300876573122285568/1605730336",,"http://pbs.twimg.com/profile_images/1328881067546222594/UMJm4uAk_normal.jpg"
"x1728826116","x1332602867933474816",2020-11-28 08:30:56,"Seaofchangefilm","E-scooters: ‘A mum-of-three suffered two broken limbs when she was knocked down by an electric scooter while walking along a pavement’. https://t.co/AfEahu8Vom","Twitter for iPhone",159,,,,FALSE,FALSE,0,1,,,,,"kentonline.co.uk/canterbury/new…","https://t.co/AfEahu8Vom","https://www.kentonline.co.uk/canterbury/news/i-was-hit-by-an-e-scooter-but-it-felt-like-a-car-238143/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Seaofchangefilm/status/1332602867933474816","Seaofchangefilm","","Campaign @NFBUK for world where pedestrians do not have to share space with moving vehicles & halt rentable e-scooter trials in UK. All own views.","https://t.co/TY3R6iQMtZ",FALSE,3203,4993,137,85553,37715,2013-09-04 14:00:54,FALSE,"https://t.co/TY3R6iQMtZ","https://www.nfbuk.org/",,"https://pbs.twimg.com/profile_banners/1728826116/1601748461","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1226922502431047683/gVYnSCQZ_normal.jpg"
"x1728826116","x1329859939263787009",2020-11-20 18:51:31,"Seaofchangefilm","Tauranga dad injured in e-scooter crash lucky to be alive, says wife, via @nzherald 24 Oct 2020

‘Mate Glamuzina, 38, was believed to be at the Mount on his e-scooter when he crashed and was taken to hospital with a broken neck, spine and cracked ribs’

https://t.co/WsyzztoUdK","Twitter for iPhone",277,,,,FALSE,FALSE,1,2,,,,,"nzherald.co.nz/nz/tauranga-da…","https://t.co/WsyzztoUdK","https://www.nzherald.co.nz/nz/tauranga-dad-injured-in-e-scooter-crash-lucky-to-be-alive-says-wife/SJY6VZ4ASSLXJUVVDNNUWOG7LY/",,,,,,,,,"x14765253","nzherald","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Seaofchangefilm/status/1329859939263787009","Seaofchangefilm","","Campaign @NFBUK for world where pedestrians do not have to share space with moving vehicles & halt rentable e-scooter trials in UK. All own views.","https://t.co/TY3R6iQMtZ",FALSE,3203,4993,137,85553,37715,2013-09-04 14:00:54,FALSE,"https://t.co/TY3R6iQMtZ","https://www.nfbuk.org/",,"https://pbs.twimg.com/profile_banners/1728826116/1601748461","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1226922502431047683/gVYnSCQZ_normal.jpg"
"x1728826116","x1332372533266538497",2020-11-27 17:15:40,"Seaofchangefilm","This ⬇️
E-scooters: Canterbury woman struck by electric scooter suffers two broken limbs https://t.co/AfEahu8Vom","Twitter for iPhone",112,,,,FALSE,FALSE,0,1,,,,,"kentonline.co.uk/canterbury/new…","https://t.co/AfEahu8Vom","https://www.kentonline.co.uk/canterbury/news/i-was-hit-by-an-e-scooter-but-it-felt-like-a-car-238143/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Seaofchangefilm/status/1332372533266538497","Seaofchangefilm","","Campaign @NFBUK for world where pedestrians do not have to share space with moving vehicles & halt rentable e-scooter trials in UK. All own views.","https://t.co/TY3R6iQMtZ",FALSE,3203,4993,137,85553,37715,2013-09-04 14:00:54,FALSE,"https://t.co/TY3R6iQMtZ","https://www.nfbuk.org/",,"https://pbs.twimg.com/profile_banners/1728826116/1601748461","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1226922502431047683/gVYnSCQZ_normal.jpg"
"x1728826116","x1332307866817097730",2020-11-27 12:58:43,"Seaofchangefilm","E-scooters: Canterbury woman struck by electric scooter suffers two broken limbs https://t.co/AfEahu8Vom","Twitter for iPhone",104,,,,FALSE,FALSE,1,4,,,,,"kentonline.co.uk/canterbury/new…","https://t.co/AfEahu8Vom","https://www.kentonline.co.uk/canterbury/news/i-was-hit-by-an-e-scooter-but-it-felt-like-a-car-238143/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Seaofchangefilm/status/1332307866817097730","Seaofchangefilm","","Campaign @NFBUK for world where pedestrians do not have to share space with moving vehicles & halt rentable e-scooter trials in UK. All own views.","https://t.co/TY3R6iQMtZ",FALSE,3203,4993,137,85553,37715,2013-09-04 14:00:54,FALSE,"https://t.co/TY3R6iQMtZ","https://www.nfbuk.org/",,"https://pbs.twimg.com/profile_banners/1728826116/1601748461","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1226922502431047683/gVYnSCQZ_normal.jpg"
"x611216143","x1332532274575892484",2020-11-28 03:50:26,"ItsTheAtmospher","@Anthony91934436 @socratesccost @ZombiePiano @IngersolRobert @Mark_A_Lunn @OscarsWild1 @Jaisans @JamesRider3 @ClimatePatriot @SuccubasT @Andrewemcameron @craigthomler @TruthStorm17 @SpurglyD @4TimesAYear @Jamz129 @DerrickBrunton2 @Climatehope2 @FChecker76 @LordHiver @MelodyMac51 @LionStrike5 @aussie000050 @cjwcjw @glinch72 @BradVictor6 @geko214 @ElectroPig @equi_noctis @JBalsich @JoeTheAtheist @HtServadac @ricksheatcool @RustyAway @AanthanurDC @ataraxisfinch @ILuvCO2 @AMilitantAgnost @doom37455413 @sart26409389 @_42________ @Ozwino @Article3S @Bitakarma @DisorderDipolar @BlknWhtKat @janineyve @follz1 @dhaessel0 @realDonaldTrump not up to speed with the reality of our modeling?

we do not use ""forcing formula"" as previously described by Scooter,  we use aggregated, ranges of forcing factors compared to a 1750 datum broken into four ""scenarios""

refer to SPM.5 from AR5 for detail https://t.co/iLRdQCKErB","Twitter Web App",254,"x1332521538600386560","x1324964147033899008","Anthony91934436",FALSE,FALSE,2,1,,,,,,,,"http://pbs.twimg.com/media/En4awrLXUAEc1Mp.jpg","https://t.co/iLRdQCKErB","https://twitter.com/ItsTheAtmospher/status/1332532274575892484/photo/1","photo","http://pbs.twimg.com/media/En4awrLXUAEc1Mp.jpg","https://t.co/iLRdQCKErB","https://twitter.com/ItsTheAtmospher/status/1332532274575892484/photo/1",,"x1324964147033899008 x25882911 x546493157 x748583847982411776 x2319057054 x1084911963317112832 x51967024 x379394639 x1849889239 x1321613475609653248 x111321539 x15170258 x1237458666443247616 x141421698 x1638469639 x1066918647174590464 x1308912837079695360 x1213510392464302081 x1148614192116719616 x943970622568218625 x1050159820018307072 x1270144421791559681 x826025269378969603 x92237555 x501180138 x1166830906100744193 x1309420549412499458 x170597868 x861696753493397504 x1288546910073245699 x20701760 x1574986424 x1263532856 x419555327 x827635922313297920 x390273184 x816840528 x485107193 x1058279331594522625 x1088363996846145536 x1080581422744621056 x75248321 x1165856250116104193 x18525280 x1204134906881810433 x727102811880611841 x438510365 x1145188891684556800 x99456694 x25073877","Anthony91934436 socratesccost ZombiePiano IngersolRobert Mark_A_Lunn OscarsWild1 Jaisans JamesRider3 ClimatePatriot SuccubasT Andrewemcameron craigthomler TruthStorm17 SpurglyD 4TimesAYear Jamz129 DerrickBrunton2 Climatehope2 FChecker76 LordHiver MelodyMac51 LionStrike5 aussie000050 cjwcjw glinch72 BradVictor6 geko214 ElectroPig equi_noctis JBalsich JoeTheAtheist HtServadac ricksheatcool RustyAway AanthanurDC ataraxisfinch ILuvCO2 AMilitantAgnost doom37455413 sart26409389 _42________ Ozwino Article3S Bitakarma DisorderDipolar BlknWhtKat janineyve follz1 dhaessel0 realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ItsTheAtmospher/status/1332532274575892484","ItsTheAtmosphere (RCP 8.5)","Third Planet from SOL","I yearn for forbidden seas and unknown shores
Planetary Science, Exploration Robotics, Cryosphere
(R/V Sikuliaq in Arctic ice)","http://t.co/OXutNG15Qi",FALSE,385,1604,12,20287,10219,2012-06-17 23:30:12,FALSE,"http://t.co/OXutNG15Qi","http://macdhomnhuill.wordpress.com/",,"https://pbs.twimg.com/profile_banners/611216143/1603392342","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1191941018184237057/9fyBO0aL_normal.jpg"
"x1310285147808428033","x1332451752919101440",2020-11-27 22:30:28,"MuzanIshere","This is so disgusting. What do you mean your ice cream machine dosen't work? I come all the way here on my Barbie scooter and it's broken? Consider your loved ones dead.

*scoots away at a alarming speed*","Twitter for Android",204,,,,FALSE,FALSE,22,2,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MuzanIshere/status/1332451752919101440","Kibutsuji Muzan is superior to you.","urmomlol","Lord of demons. 


All humans are weak.",,FALSE,214,104,3,1644,1707,2020-09-27 18:28:24,FALSE,,,,"https://pbs.twimg.com/profile_banners/1310285147808428033/1602113543",,"http://pbs.twimg.com/profile_images/1332452026417033222/s0YvFHIX_normal.jpg"
"x96164731","x1332443093602357251",2020-11-27 21:56:03,"RachhGrayy","@Argos_Online what kind of company are you? Scooter ordered for my sister birthday TOMORROW. Just been delivered and you've sent me a used broken scooter? During a pandemic?! How disgusting! https://t.co/tujWf4zfao","Twitter for Android",190,,"x23328929","Argos_Online",FALSE,FALSE,0,0,,,,,,,,"http://pbs.twimg.com/media/En3J5M4XEAI0ZL_.jpg","https://t.co/tujWf4zfao","https://twitter.com/RachhGrayy/status/1332443093602357251/photo/1","photo","http://pbs.twimg.com/media/En3J5M4XEAI0ZL_.jpg http://pbs.twimg.com/media/En3J59hXIAQA_e8.jpg http://pbs.twimg.com/media/En3J6k1XMAYjzY5.jpg http://pbs.twimg.com/media/En3J7RgW4AoSgB_.jpg","https://t.co/tujWf4zfao https://t.co/tujWf4zfao https://t.co/tujWf4zfao https://t.co/tujWf4zfao","https://twitter.com/RachhGrayy/status/1332443093602357251/photo/1 https://twitter.com/RachhGrayy/status/1332443093602357251/photo/1 https://twitter.com/RachhGrayy/status/1332443093602357251/photo/1 https://twitter.com/RachhGrayy/status/1332443093602357251/photo/1",,"x23328929","Argos_Online","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RachhGrayy/status/1332443093602357251","Rach👽","","I saw the moon in your eyes 💫",,FALSE,1293,385,70,49160,3115,2009-12-11 17:08:01,FALSE,,,,"https://pbs.twimg.com/profile_banners/96164731/1606015158","http://abs.twimg.com/images/themes/theme3/bg.gif","http://pbs.twimg.com/profile_images/1275968392453861377/XI4jaqQr_normal.jpg"
"x96164731","x1332443774853795845",2020-11-27 21:58:46,"RachhGrayy","@ArgosHelpers great customer service skills there. Paid for a brand new scooter for my sisters birthday tomorrow and you've sent me this broken dirty used scooter in a pandemic??? How disgusting https://t.co/1iUg6PdDbw","Twitter for Android",194,,"x161296820","ArgosHelpers",FALSE,FALSE,0,0,,,,,,,,"http://pbs.twimg.com/media/En3Kg9zWEAMLZvQ.jpg","https://t.co/1iUg6PdDbw","https://twitter.com/RachhGrayy/status/1332443774853795845/photo/1","photo","http://pbs.twimg.com/media/En3Kg9zWEAMLZvQ.jpg http://pbs.twimg.com/media/En3KhuMW4AEopAy.jpg http://pbs.twimg.com/media/En3KiWrXMAA1zs7.jpg http://pbs.twimg.com/media/En3KjAyW8AAZkUf.jpg","https://t.co/1iUg6PdDbw https://t.co/1iUg6PdDbw https://t.co/1iUg6PdDbw https://t.co/1iUg6PdDbw","https://twitter.com/RachhGrayy/status/1332443774853795845/photo/1 https://twitter.com/RachhGrayy/status/1332443774853795845/photo/1 https://twitter.com/RachhGrayy/status/1332443774853795845/photo/1 https://twitter.com/RachhGrayy/status/1332443774853795845/photo/1",,"x161296820","ArgosHelpers","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RachhGrayy/status/1332443774853795845","Rach👽","","I saw the moon in your eyes 💫",,FALSE,1293,385,70,49160,3115,2009-12-11 17:08:01,FALSE,,,,"https://pbs.twimg.com/profile_banners/96164731/1606015158","http://abs.twimg.com/images/themes/theme3/bg.gif","http://pbs.twimg.com/profile_images/1275968392453861377/XI4jaqQr_normal.jpg"
"x1217368863324692481","x1332424755790680070",2020-11-27 20:43:11,"SPOTLIGHTINVES1","Boy who had broken leg after being knocked off scooter awarded €71k https://t.co/8cLrDXSh7P","Twitter for Android",91,,,,FALSE,FALSE,0,0,,,,,"irishexaminer.com/news/courtandc…","https://t.co/8cLrDXSh7P","https://www.irishexaminer.com/news/courtandcrime/arid-40091459.html?type=amp",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SPOTLIGHTINVES1/status/1332424755790680070","SPOTLIGHT INVESTIGATIONS LTD","NAAS, CO.KILDARE, IRELAND","Discreet, compliant and ethical professional investigators in Ireland. Regulated by the Private Security Authority of Ireland under Licence No. 08513","https://t.co/TgDC986y9Q",FALSE,27,80,0,3580,6,2020-01-15 08:52:51,FALSE,"https://t.co/TgDC986y9Q","https://www.spotlightinvestigations.ie/",,"https://pbs.twimg.com/profile_banners/1217368863324692481/1579181936",,"http://pbs.twimg.com/profile_images/1217398234387226624/yXfBUuRT_normal.jpg"
"x16665742","x1332408853225476100",2020-11-27 19:40:00,"sundayworld","Boy who had leg broken after being knocked off scooter get €71k award https://t.co/CEm91WDIgh","Twitter Web App",93,,,,FALSE,FALSE,0,0,,,,,"sundayworld.com/news/irish-new…","https://t.co/CEm91WDIgh","https://www.sundayworld.com/news/irish-news/boy-who-had-leg-broken-after-being-knocked-off-scooter-get-71k-award-39799720.html",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/sundayworld/status/1332408853225476100","Sunday World","Ireland","The Sunday World, The People's Paper","https://t.co/Fx6ckL8iYC",FALSE,31214,503,239,66357,919,2008-10-09 13:14:00,TRUE,"https://t.co/Fx6ckL8iYC","http://www.sundayworld.com",,"https://pbs.twimg.com/profile_banners/16665742/1603317557","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/509996958581137408/35WB_9FG_normal.jpeg"
"x275562334","x1332348845871730688",2020-11-27 15:41:33,"ecsocha","@BronwynAnn Crutches suck. He will tire of them very quickly. Do the knee scooter or a walker or even a cane. When I had a broken foot, I found the cane to be most helpful. Best wishes and I’m so sorry to hear about your injury","Twitter for iPhone",215,"x1332185519086727168","x15975790","BronwynAnn",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x15975790","BronwynAnn","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ecsocha/status/1332348845871730688","Evamarie Socha","Northern Virginia","Communications director, recovering journo. PA native loves DC. Devout Steelers fan & Caps fan, Polish princess, great cook, wine snob, makes a mean cocktail.","https://t.co/Z10FQKXWe0",FALSE,373,824,0,3011,6233,2011-04-01 14:44:26,FALSE,"https://t.co/Z10FQKXWe0","http://crackedandgolden.com",,"https://pbs.twimg.com/profile_banners/275562334/1568334219","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1317857025007767552/o3ZsnFRT_normal.jpg"
"x45533207","x1332285247279534081",2020-11-27 11:28:50,"KentishGazette","#Canterbury woman struck by e-scooter suffers two broken limbs
https://t.co/FArXWKQkxW","TweetDeck",86,,,,FALSE,FALSE,0,3,,,"Canterbury",,"bit.ly/36b78mm","https://t.co/FArXWKQkxW","https://bit.ly/36b78mm",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/KentishGazette/status/1332285247279534081","Kentish Gazette","Canterbury","Follow us for all the latest news from Canterbury, Whitstable, Herne Bay and Faversham. Got a story? Email kentishgazette@thekmgroup.co.uk or call 01227 475985.","http://t.co/1NEFRYTN4c",FALSE,16561,518,200,21769,46,2009-06-08 09:36:58,FALSE,"http://t.co/1NEFRYTN4c","http://www.kentishgazette.co.uk",,"https://pbs.twimg.com/profile_banners/45533207/1546519646","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/958302216133148672/mjknTyWg_normal.jpg"
"x2792534556","x1332229098203193345",2020-11-27 07:45:43,"LisaMuxo","Our hearts are broken 💔 Scooter...thank you for being a wonderful friend, classmate and teammate to Timmy. Once a Dragon always a Dragon. 🐉🏈💚Brothers for Life. Rest in peace sweet angel. https://t.co/e2nmq0tZUR","Twitter for iPhone",186,,,,FALSE,FALSE,27,1,,,,,,,,"http://pbs.twimg.com/media/En0HTOIXEAUyM5b.jpg","https://t.co/e2nmq0tZUR","https://twitter.com/LisaMuxo/status/1332229098203193345/photo/1","photo","http://pbs.twimg.com/media/En0HTOIXEAUyM5b.jpg","https://t.co/e2nmq0tZUR","https://twitter.com/LisaMuxo/status/1332229098203193345/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/LisaMuxo/status/1332229098203193345","Lisa Muxo","St. Louis","Administrative Coordinator - Washington University Department of Athletics.",,FALSE,113,373,0,612,1574,2014-09-05 20:36:45,FALSE,,,,"https://pbs.twimg.com/profile_banners/2792534556/1550849492","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1089939327533092864/TDoxmE9y_normal.jpg"
"x1239672840145821697","x1332228313830596608",2020-11-27 07:42:36,"wilbur_scooter","BAHAHHDJFKXNSBKDNGBF WHY IS IT SO BROKEN","Twitter for Android",40,"x1332228255244578822","x1239672840145821697","wilbur_scooter",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/wilbur_scooter/status/1332228313830596608","ramy ! ♡","she/him","peppermint bark addict
cred: @JLemongrass
priv; @smp_l1ve",,FALSE,313,766,26,6685,5389,2020-03-16 22:00:25,FALSE,,,,"https://pbs.twimg.com/profile_banners/1239672840145821697/1606351860",,"http://pbs.twimg.com/profile_images/1331762996234887168/ht9aW4U5_normal.jpg"
"x66887262","x1332228154061033474",2020-11-27 07:41:58,"bigbadave","@MikeCarlton01 @MrDenmore One thing - the broken clock moment - that Howard did do was fire grifters like Reith. No chance of Scooter doing the same with his ""waffer thin"" majority of 1.","Twitter for Android",160,"x1332227301929406466","x160856325","MikeCarlton01",FALSE,FALSE,2,0,,,,,,,,,,,,,,,,"x160856325 x23293734","MikeCarlton01 MrDenmore","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/bigbadave/status/1332228154061033474","𝗗𝗮𝘃𝗲 𝗣𝗶𝘁𝗺𝗮𝗻","","Sometimes there are no good choices, so pick the least worst and get on with it",,FALSE,440,577,8,33413,17784,2009-08-19 02:44:34,FALSE,,,,"https://pbs.twimg.com/profile_banners/66887262/1601624708","http://abs.twimg.com/images/themes/theme10/bg.gif","http://pbs.twimg.com/profile_images/1316200596190322689/YT9o7cVe_normal.jpg"
"x31101301","x1332212358119366656",2020-11-27 06:39:12,"Kent_Online","#Canterbury woman struck by e-scooter suffers two broken limbs https://t.co/Rg4P1LIaO3","Twitter for iPhone",86,,,,FALSE,FALSE,7,5,,,"Canterbury",,"kentonline.co.uk/canterbury/new…","https://t.co/Rg4P1LIaO3","https://www.kentonline.co.uk/canterbury/news/i-was-hit-by-an-e-scooter-but-it-felt-like-a-car-238143/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Kent_Online/status/1332212358119366656","KentOnline","Kent","All the latest news from Kent - brought to you by the KentOnline team. Send stories and pics to news@thekmgroup.co.uk","https://t.co/ZybaZngGQd",FALSE,182871,1517,0,117764,483,2009-04-14 11:26:18,TRUE,"https://t.co/ZybaZngGQd","http://www.kentonline.co.uk",,"https://pbs.twimg.com/profile_banners/31101301/1556794572","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/876692466396803073/qTDvqJ3D_normal.jpg"
"x15975790","x1332185519086727168",2020-11-27 04:52:33,"BronwynAnn","People who have had broken ankles/feet: questions:

Luckily I don’t have to really go anywhere. Within my apartment, should I borrow a knee scooter, a walker, or just deal with the terrible crutches and try to build upper body strength?","Twitter for iPad",236,,,,FALSE,FALSE,5,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BronwynAnn/status/1332185519086727168","Bronwyn Harris, One Outspoken Educator","Alameda, CA","Educator, author (Literally Unbelievable, Letters From the Inside), public speaker, auntie, lifelong Californian. She/her.

https://t.co/CbqlSSwAgw

she/her","https://t.co/OQlsxKVqiy",FALSE,2397,1331,43,36883,45265,2008-08-25 02:12:27,FALSE,"https://t.co/OQlsxKVqiy","http://www.bronwynharris.com",,"https://pbs.twimg.com/profile_banners/15975790/1595363233","http://abs.twimg.com/images/themes/theme3/bg.gif","http://pbs.twimg.com/profile_images/1298783180422393857/98L6hKGE_normal.jpg"
